comment_content,show_name,post_comment [Total Events]
"""اللغة العربية إذا أجدناها وأتقناها واستوعبناها استيعاباً صحيحاً سوف نجد فينا المبدعين من الكتاب والشعراء وسوف نجد فينا العلماء الذين يستط",undefined,1
"""الله وضع الضحك بحذاء الحياة والبكاء بحذاء الموت""
صراحة حلقة فوق توقعاتي حلقة رهيبة وممتعة لا إراديًا قعدت أضحك معاهم😂
وفيها معلومات مثيرة",آدم مع محمد الحاجي,1
"""المرء نـتـاج أفـكـارهـ ""

هذه ملخص حلقة الاستاذ محمد عبداللطيف في حياته وكل فكرة آمن بها كيف اثرت عليه في نظرته ل نفسه ولغيره وكيف يحقق نفسه",بودكاست مربّع | مع حاتم النجار,1
"""النساء اللاتي منعن من الركض سيلدن نساء بأجنحة""✨
حلقة رائعة ومثرية✨ الدكتورة هاجر  إنسانة مثقفة وذكية ومتحدثة رائعة وأفكارها واضحة ومتسلسل",شمس,1
"""الوعي بالانفعالات يقينا من الاضطرابات"" صادقة",فنجان مع عبدالرحمن أبومالح,1
"""بشر نتأرجح بين الصواب والخطأ الطهر والإثم البراءة والذنب"" 
حلقة جميييييله جدًا",بودكاست أبجورة,1
"""بعد التطعيمة الثالثة معد صرت أتذكر الأسماء""💀",امش مع,1
"""تطبيق يتحدى العالم""🔥",فنجان مع عبدالرحمن أبومالح,1
"""تقبل الواقع وحاول تحسينة"" 
اكثر عبااره بديت اطبقها من اول ما سمعت البودكاست رهيييبب  اطالب  باستضافته مره ثانيه 🫱🏻‍🫲🏼",بودكاست يصير خير,1
"""تنزل تحت الموية عشان تشوف الصورة كاملة"" 

السؤال: معظم الضحايا في الحلقة رُشحّت لهم الخطابة ورقمها من صديق! 😃 وهذا يخلي الموثوقية أكبر! هل هم",احتيال,1
"""حاصل على الدكتوراه في النوم "" ولكن هدوءه لحاله وصوته يجيب النوم 😂
  
ولكن موضوع شيق ومليان معلومات فعلا نجهلها 👍🏻",فنجان مع عبدالرحمن أبومالح,1
"""خله يستغلني بس يعلمني""
هذا شعاري في مرحلة التدريب حاليًا",فنجان مع عبدالرحمن أبومالح,1
"""دزيتها"" هههههخخ، رائع الدكتور عماد كعادته.

ارحب بمتابعيني الجدد وبالاسم:
تغريد
Ali",بدون ورق,1
"""ديستويفسكي يعري الانسان امام نفسه في رواياته."" 💯

حلقة رائعة انتهيت منها وبعدها شاهدت حلقة الرهان من مسلسل حكايا المرايا..
فعلًا اليوم استش",جَوَلان | Jawalan,1
"""ركائز الذكاء العاطفي:
التعرف على المشاعر
ادارة المشاعر""

مفهوم ال Hot-Cold Empathy Gap مثير للاهتمام ويستحق البحث فيه اكثر..
حلقة جميلة, لكني شخصيًا و",آدم مع محمد الحاجي,1
"""ساعة بالبيت عن خمس ساعات بالدوام"" دوام الريموت للمبرمجين فعلايزيد انتاجتهم بحكم ان طبيعه شغلهم تحتاج تركيز عميق 
 
بس من الاشياء الرهيبه بال",فنجان مع عبدالرحمن أبومالح,1
"""ساعه بالبيت عن خمس ساعات بالدوام"" دوام الريموت للمبرمجين يزيد انتاجيتهم بحكم ان طبيعه شغلهم تحتاج تركيز عميق 

بس فعلا ال peer programming بالواقع ا",فنجان مع عبدالرحمن أبومالح,1
"""سعيد بس ما اضحك""
""حزين بس ماصحت""

والله من سمعت هذي قررت اوقف اكمال البودكاست!",عقل غير هادئ | مبارك الزوبع,1
"""شرف الحديث بشرف المتحدث عنه ""فما بالك  والمتحدث عنه خير البرية ♥️اللهم صل وسلم وبارك على الحبيب المختار ♥️حلقة مبدعة",أسمار,1
"""صمت المودعين صمت قسري قهري في الغالب، صمت فصيح يقول ولا يقول ويخبر لكنه لا يعبر بالكلمات تنوب عنه الاشارات والزفرات وانات تكاد تتقطع لها ني",مطالع مع فيصل الشهراني,1
"""عاااجيييب، رااااهييييب"" 😹💛
أسبوع فيزيائي برعاية فارس الفرزان
بدأه بسياق اختلاف وقت الدول، والحين هذه الحلقة الرائعة.
مسيرة ملياااانة وح",امشِ مع,1
"""عد لنقطة الأصل بعد كل أمر لا يليق بك، انتبه أن تستمر به ويصبح جُزءًا منك.""
النصيحة الممزوجة بالحب والخوف تترك أثرًا لا يُمحى، وإذا مُزِجت بال",بودكاست إرث,4
"""عَجِبتُ لصبري بَعدَهُ وهْو مَيّتٌ
‏وكنتُ امرأً أبكي دماً وهْو غائبُ

‏ألا إنها الأيامُ قد صرنَ كلُّها
‏عجائبَ حتى ليس فيها عجائبُ ""

من الح",أسمار,1
"""في الحقيقة, كل هذي ال٧٩ سنة لاتعني شيء في نجاحاتها وتجاربها وفرصها في حال كانت حالة تكوينها من الاصل غير صحيحة.
سنة واحدة سيئة في بداياتها ست",عقل غير هادئ | مبارك الزوبع,1
"""في قانون يقول إذا في شي يسعدك لا تسويه؟ لأ""
هذي ثاني حلقة اسمعها في ثمانية ومحملة التطبيق مبدئياً عشان أسمعك بيبي ، وكملت اسمع لأخر شي لاني ل",امشِ مع,1
"""في قُربه كل المخاوف تَنجلي
في حُبّه أحببت حتمًا ذاتي"" 
بيت من قصيدة لـ أمل ، هي قصيدة احببتها و ألقيتها في صف ثالث ثانوي ك مشروع إلقاء لآمستني",امشِ مع,1
"""قلي من تصاحب اقولك مشاكلك النفسية""",عقل غير هادئ | مبارك الزوبع,1
"""كان على المدن الرئيسية والقصيم.. المدن اللي تطلع في التلفزيون"" 
""ريد اوشن ما ريد اوشن… وش قاعد تقول؟ أنا في المحيط ما أحد حولي يارجال""
""الله يه",سوالف بزنس مع مشهور الدبيان,1
"""كريس تاكر أخو رضا تكر؟""
بالقطّة هذي عبادي دخل قائمة أكثر ناس يضحكوني 🏆",وش السالفة؟,1
"""كسب القلوب أولى من كسب المواقف""💯
د. محمد غطى موضوع الاختلافات بطريقة جميلة وسلسلة. طبيعي جدًا العلاقات تكون فيها خلافات ولكن الأهم كيف نتعا",آدم مع محمد الحاجي,1
"""كل شي عربي أنا أحبه"" 🤍
كل ما أعرفه عن الفن العربي أدين به للشيخ سلطان سعود القاسمي. حديثه عن الفن العربي والعروبة لا يمل.",El-Podcasters,1
"""كل ما فتشتُ في نفسي وجدتُ الآخرين"".",فنجان مع عبدالرحمن أبومالح,1
"""كل من لديه اصبع وكاميرة، فهو مصور"" 
حلقة رائعة وموضوع التصوير والتوثيق دائمًا وابدًا مثير للاهتمام.",1949,1
"""كل هذا التعب يسوى✨""
حلقة جميلة جدًا،  د. محمد من الشخصيات الي دائمًا تبهرنا برُقي منطِقها ومُنطقها تبارك الرحمٰن",امشِ مع,1
"""كل واحد فينا صار له ألف ظل يعيش تحته""
جملة تختصر كل شي..",أصوات,1
"""كلنا محنا طبيعيين بطريقة أو بأخرى""",بودكاست مربّع | مع حاتم النجار,1
"""كيف تكون حيادي؟!"" جملة تتردد في مسمعي ولا أعرف متى توقف",فنجان مع عبدالرحمن أبومالح,1
"""لازم أتعلم برمجة"" !! يمكن هذي الفكرة الوحيدة اللي علقت في مخي من هذي الحلقة! هذا وانا اسمعها في 2024 😅

أن تصل متأخرا خير من أن لا تصل! ✨🙏🏼",فنجان مع عبدالرحمن أبومالح,1
"""لاشيء يدوم الا التغيير""
قالها أبو مالح وقال الكثير من الأجوبة الرائعة هالحلقة الي توضح ان مشروع ثمانية صحيح بدأ بالغلط لكنه استمر بأفضل شكل!",Bidon Waraq | بدون ورق,1
"""لن أعيش في جلباب أبي""",امشِ مع,1
"""لن تصفو لأحد""",امش مع,1
"""لو كان لي خيار الخلود في هذه الدنيا لما اخترته إطلاقًا, لا شيء أسخف من أن تعيش حياة لا إنتهاء لها""",مُسودّة,1
"""ليست القراءة أعظم ما يصقل الكتابة بل التأمل""
مقتبس من الضيف",فنجان مع عبدالرحمن أبومالح,1
"""مرتدة"" صار الروتين الطبيعي بعد كل جولة :) 

تعقيب صغير: جرعات الدراسات الأكاديمية اللي يقدمها أبو عالية جمييييلة جداً وتكاد تكون نادرة بين جم",مرتدة,1
"""نشكي لمين ما باليد حيلة"" ""ليه الحروب دايمًا تخاض على أجساد النساء""💔
قشعر جسمي جدًا وهيا تتكلم، يحزن التعتيم الإعلامي اللي صاير
أشياء أساسية",فاهم قصدي,1
"""نكمّل مش على الرغم من الفجيعة، ولكن بسببها""",أصوات,1
"""هذا بودكاست""",فنجان مع عبدالرحمن أبومالح,1
"""هذا هو البودكاست يا جاهلينه.""
والله تعبت من اللي يسوون برامج حواريّة ويظنون إن اللي يسوونه بودكاست 💔

سوالف أخويا يعرفون بعض من عمر، تحس إنه",بودكاست يصير خير,1
"""هناك وفاة انت متهيئ لها اما كبير سن او كذا، لكن تفقد فقد مفاجئ مثل هذا يكون مؤثر"" 
رحمة الله على اللي فقدناهم في وفاة مفاجئة، والله يربط على ق",#ABtalks,1
"""والحرُّ حقًا لا يقبل بفكرة معلّبة""",بودكاست أبجورة,1
"""والله يعرفني بِغير لُغاتِ""
جملة  من قصيدة كتبتها أمل حبيتها و بصف ثالث ثانوي ألقيتها ك مشروع إلقاء ، احب هذي القصيدة
لك ، شكراً لك أمل.🩵",امشِ مع,1
"""وراء كل ما يفعله البشر غالباً دافعاً غير معترف به، وهو الرغبة في الاهتمام""

جانب آخر خفي من شخصياتنا يسلط الضوء عليه بودكاست آدم بتفصيل جميل",آدم مع محمد الحاجي,1
"""ولعلّني رُغْمَ احتياجيَ أنْطَوي
وألوذُ بالصلواتِ والخلواتِ
النَّاسُ تهجرني لعيبٍ واحدٍ
والله يقبلني على عِلّاتي ""
عرفت أمل السهلاوي بالصد",امشِ مع,1
"""‏الحر من يرعى وداد لحظة"" 
فكيف بالصديق اللي ضحكنا وبكينا وعشنا اصدق اللحظات معاه 
الله يخلي لنا مناطقنا الآمنة ♥️",أسمار,1
"' انت لمن كان عمرك عشرين، وين كنت ساكن؟ ' 

سؤال سيداعب جذور معتقداتك وافكارك",امش مع,1
'.  Ooo.                                          Nb' o'n,Mooncast - موونكاست,1
"( keep hustling keep grinding ) بجذورها 

الخيار لك، اصنع فرصتك .. فكُن طموحاً ولا تيأس وأسعى دائما .. بتخسر ولكن بتضبط وبتجي وتنجح",سوالف بزنس مع مشهور الدبيان,1
"( ما يبطي السيل الا من كبره ) ☔️.. 
حلقة غنيه جداً ، و الضيف طويل بال وكريم بالشرح 👍🏻.. 

عزيزي المستمع لازم تكون مصحصح ومتفرغ تماماً للاستماع",سوالف بزنس مع مشهور الدبيان,1
(( ومن أوتي الحكمة فقد أوتي خيرا كثيرا )) برودكاست روعة وحلقة ممتازة جمعت أعظم الحكم وطرحتها طرحا بسيطا لا يعجز أحد عن فهمه❤️.,فنجان مع عبدالرحمن أبومالح,1
(التصوير فقط أداة لتوثيق الشغف الحقيقي؛ رؤية الطبيعة كما طبعها الله، الأمور اللي باقية مثلما خلقت، طبيعة طبيعة حرّة!) عشان كذا أحب تصوير إبر,امش مع,1
(كريم و سابقًا مالك) والله يخرع أسلوبه شوي، وكلامه بكل ثقة إنه هو كان مالك ومعرفته العمياء بعائلته السابقة، يجيب لي تساؤلات كيف قادر يعيش بشخ,Matryoshka | ماتريوشكا,1
"(نحن نعيش في فقاعة استثنائية في تاريخ العالم) جملة قيلت في آخر الحلقة وتمثل كثيراً توجه المجتمع بمعزل عن واقع العالم

الله يديم علينا نعمه ال",جادي,1
"*اكتب وانا لسا اسمعها
‏it is scientifically proven that men are a net negative to women’s lives, in other words in the natural course of life if you as a straight woman marry a straight man your life is already getting worse according",No Stupid Questions,2
"*اكتب وانا لسا اسمعها
‏it is scientifically proven that men are a net negative to women’s lives, in other words in the natural course of life if you as a straight woman marry a straight man your life is already getting worse according",nil,1
"*توصية بالاستماع*
*توصية بالاستماع*
*توصية بالاستماع*

أقم الصلاة",فنجان مع عبدالرحمن أبومالح,1
"+
اذا الحلقة جابت لكم غصه خفيفه .. 
روحو شوفو مقاطع الفوز بحسابه تويتر و ابشرو بالدموع و الفخر 🇸🇦",امشِ مع,1
+ مازن السعد عاش,احتيال,1
+ نطالب بالإكثار من مشاركات مازن 🙋🏻‍♀️,رابط تشعبي,1
-,undefined,2
"- الذهنية الخطأ تدمر حياتنا. 
- المرء يُعرف بما يُغضبه، وسويّته الذهنية تُعرف بذلك. 
- تسعة أعشار حسن الخلق بالتغافل.",آدم مع محمد الحاجي,1
- بخصوص حلقة فؤاد عسيري، فبداية الضيف مميز جداً وحواره جميل وكمتخصص في مجاله يبدو ماهراً ومميزاً فيه. لولا سماجة المقدم وكثرة مقاطعاته وتدخل,فنجان مع عبدالرحمن أبومالح,2
"- بوبز يعني جلس جلسة القرفصاء ..
-  بالعكس من رأيي التفاصيل رائعة وتجمّل القصة وتعيّشك الجو وتمنحك مجال للتخيّل👌🏻 
- القصة معقدة جدًا وما كان",جناية,1
"- تذكرت فيلم Inferno من ثلاثية (دان براون).
- في الهند يصير إن أهل الزوج يعرفون إن الحنين أنثى ويودون الزوجة المستشفى على أساس إنه إجراء عادي، وتقو",جادي,1
"- زيادة التركيز تزيد القدرة على التحكم العقلي.
- عند رفع التركيز يسهل عليك اكتساب العادات والالتزام بها.
- زيادة التركيز تزيد الإدراك وترفع مس",فنجان مع عبدالرحمن أبومالح,1
- سعر الوكيل,جادي,1
"- قبل أن تكتبي صفحة أقرأي مئة صفحَة - 
عميق .. رحم الله معالي الدكتور غازي",بودكاست أبجورة,1
"- وين تفريغ نَص الحلقة 💔 أحياناً الصوت مو واضح

- مازن كنت تقول نعرف إن كل كلام أبو حمزة كذب، بعدين قلت إنه الوحيد اللي اعترف، فهل هو صادق وإلا",احتيال,1
-تعليقي ماله علاقة بالحلقة- بس يصادف إني جالسة أسمعها بيوم سقوط بشار الأسد و تحرر سوريا💚💚💚💚💚💚 و قلت لازم أشارك فرحتي هنا 🥳🥳🎉,كنبة السبت,1
.,13 Minutes to the Moon,1
.,Bidon Waraq | بدون ورق,3
.,undefined,4
.,أ. ياسر الحزيمي,1
.,احتيال,3
.,الفجر,2
.,بودكاست العلب,2
.,بودكاست حَبْكات,1
.,ذا قال,2
.,سقراط مع عمر الجريسي,4
.,فنجان مع عبدالرحمن أبومالح,33
.,موسوعة الكتب الصوتية,1
".
بالنسبه لي اجد بيت الأنبياء لا يحتاج هذا الجدل الواسع 
والله غفور رحيم .، وصالح يعرف فعلاً ان مسألة البيت اقل جداً من تأويلات الناس وما تعمق",undefined,1
..,فنجان مع عبدالرحمن أبومالح,2
....,13 Minutes to the Moon,1
"...تابع
ااااءءء كيف بحلها؟ بكمل ازعاج خخخخ اي ويل امبريس ات.
شكل الحلول موجودة بالفيديو اللي نصحتكم فيه بس تبون الصدق ترا ما كملته هيهيعي.
احس",The Broski Report with Brittany Broski,2
..الحلقة دون المتوقع من استشارية..وهي متخصصة,فنجان مع عبدالرحمن أبومالح,1
..حاطة فيها مستحضرات أنا ناوية اشتريها اغلبها فيها اكتڤز -حتى أنا بقطعها لانها سامة- حتى زيت ميلي حاطته😵 بزر بابتدائي شتبي فيهم؟ وخليجية بعد,"Today, Explained",1
..لكن اعتقد أن راح تكون مؤثرة,فنجان مع عبدالرحمن أبومالح,1
.حهاد الوثائقي ليش مو على اليوتيوب,احتيال,1
012345678910111213141516171819202122232425262728293031323334353637383940414243444546474849505152535455565758596061626364656667686970717273747576777879808182838485868788899091929394959697989910010110210310410510610710810911011111211311411511611711811912012,بلوميست,2
1,احتيال,1
1,سقراط مع عمر الجريسي,1
1- وإذا غيرنا أسماء المحلات للعربية، هل قائمة مشروبات القهوة ستُعرّب أيضاً؟ اللاتيه والكابتشينو والإسبريسو والـ V60؟ وإلا نعرّب الغلاف فقط؟,الصفحة الأخيرة,1
"10/10
سرده للقصص رهيب! وتابعت كل اللي بقناته الخاصة للأمانة",بودكاست مربّع | مع حاتم النجار,1
"10/10 
دائمًا اختيار بودكاست آدم للمواضيع رائع وفي وقته؛ وهذا طبعاً من اجمل المواضيع الي تكلم عنها وضح كثير اشياء بخصوص الخلافات؛
هايلايت الحل",آدم مع محمد الحاجي,1
10/10 👌,فنجان مع عبدالرحمن أبومالح,1
"10/10 🤝🏻🧡
نحتاج نسمعه بين فتره وفتره كتذكير",بودكاست أبجورة,1
"11:12 ذكروني بوثائقي شفته وانا ياهل وعلق بمخي،
كان اسد اسمه اليكس(دايم اسمهم أليكس مدري ليه) وعلى انه كان بفصل الصيف وبدأت تجف الموية بالمنطقة",Critics at Large | The New Yorker,1
19,احتيال,1
2- وظيفة التاجر يبحث عن ربحه، تغيير نظرة الناس عن رونق وكشخة الأسماء العربية مو وظيفته + صدارة اللغة الإنجليزية أمر لا يؤرق العرب فقط، كل الأج,الصفحة الأخيرة,1
2. **الألفة في العلاقات:** ما نبحث عنه في العلاقات العاطفية ليس السعادة دائمًا، بل الألفة، وأحيانًا التجاهل والمعاناة، لأن هذا ما تعلمناه عن ا,Great Company with Jamie Laing,2
4 ساعات كأنها نصف ساعة، حلقة دسمة كما وصفها أبو مالح 👏🏻 نحتاج حلقات أكثر من هاذ النوع.,فنجان مع عبدالرحمن أبومالح,1
49:37😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,فنجان مع عبدالرحمن أبومالح,1
"50:05 خخخ اخخيرًا عطاهم شوية كريديتس حرفيًا هم التريند سيترز والكل بالكل. 

إبسراحا في أشياء ما تدخل الرأس زي أنهم اول ناس قسموا العبايات إلى عب",سوالف بزنس مع مشهور الدبيان,1
50:35 الصراحة من أكثر الأمور معاناةً في موضوع الواجهات,بودكاست برميم | Barmim Podcast,1
6 ساعات ممتعة ما تحسون فيها 🤍 my favorite storytellers,Acquired,1
8 حلقات عظيمة من إنتاج أبل يتكلمون فيها عن قصة تيد كازينسكي ال(unabomber),Project Unabom,1
9 inn,فنجان مع عبدالرحمن أبومالح,1
"9:46 😭😭😭
15:35 😮😮
‎34:20 ههههههههههههههههخ
‎37:26 ههههه التشبيه

على تعليقي السابق، محل دير اند دير أسبوع ويقفل😮

وقت النوم",The Ben and Emil Show,1
:(  الحديث معاه مميز ويشد لو يكون فيه سلسلة معاه نكون ممتنين ونتعرف على السياسة بنظرته 🤩⭐️,سقراط مع عمر الجريسي,1
<#_!#_1541797253_!#_كنبة السبت_!#_>,نشرة أها!,1
<#_!#_17d82f5e-7962-54d4-bd29-ea916fb58e38_!#_بودكاست مظلة_!#_>,بودكاست النشر,4
<#_!#_6243f77e-8124-5565-9948-35ce7468fb5b_!#_بلوميستس_!#_>,بلوميست,1
<#_!#_f3ef6044-8fe4-59cf-814b-359e8444f11b_!#_المحقق السري_!#_>,امشِ مع,1
<@_!#_3MiNmGfjomepS8bjHgeCpPj1bVj2_!#_معاذ_!#_>,بلوميست,1
<@_!#_3MiNmGfjomepS8bjHgeCpPj1bVj2_!#_معاذ_!#_>,كواليس,1
<@_!#_4ANlXzJI12UIOnPUAm8Y4ZkYqqi2_!#_لؤي_!#_>  نص مكتوب؟ أي نصّ؟ مين كتبه؟ عندنا دفتر أصفر نسوي فيه دوائر ومربعات وأسهم من بداية البودكاست وإلى الآن ما انتهى,جادي,1
<@_!#_4ANlXzJI12UIOnPUAm8Y4ZkYqqi2_!#_لؤي_!#_> اتفق معك، واظن جزء من التفسير كان في الحلقة السابقة عن المطاعم.,جادي,1
<@_!#_5Xzs8AoCzzXuj1wWpvdFuw9HR6g2_!#_شيراز 242_!#_>,بودكاست تنظيم المهام اليومية وإدارة الوقت الاحترافي الشامل,1
<@_!#_B7A0w47w0GTOT5ZDPBSJAMfGcVM2_!#_شيراز_!#_>,بلوميست,1
"<@_!#_BLq4eRZ5dsXGrfLk4eu3jZeCCZR2_!#_ثمود_!#_> اسفه لك بس اول مره اراقب دقائق الحلقة ابغاها تخلص 💔
( مقدرين لجهودك والله )",رابط تشعبي,1
<@_!#_DQ0mfDmdRcgdZqS069m2QOfLJ9v2_!#_Mohamed_!#_> قوية,نشرة,2
<@_!#_Dbyds05xXvatsQpsl7blRfmpHWk1_!#_عمار_!#_> أتفق معك توجد تجارب أخرى خارج أمريكا قد تكون أقرب لظروفنا ورحلتنا التاريخية. ولكن عندما يتعلق الأمر بهجرة العقو,جادي,1
